Time,Province,New,Domestic,Overseas inflow,Accumulate
2020-07-02,Chungbuk,0,0.0,0.0,64
2020-07-03,Chungbuk,0,0.0,0.0,64
2020-07-04,Chungbuk,2,2.0,0.0,66
2020-07-05,Chungbuk,0,0.0,0.0,66
2020-07-06,Chungbuk,0,0.0,0.0,66
2020-07-07,Chungbuk,0,0.0,0.0,66
2020-07-08,Chungbuk,0,0.0,0.0,66
2020-07-09,Chungbuk,0,0.0,0.0,66
2020-07-10,Chungbuk,2,0.0,2.0,68
2020-07-11,Chungbuk,0,0.0,0.0,68
2020-07-12,Chungbuk,0,0.0,0.0,68
2020-07-13,Chungbuk,1,0.0,1.0,69
2020-07-14,Chungbuk,1,1.0,0.0,70
2020-07-15,Chungbuk,0,0.0,0.0,70
2020-07-16,Chungbuk,1,0.0,1.0,71
2020-07-17,Chungbuk,0,0.0,0.0,71
2020-07-18,Chungbuk,0,0.0,0.0,71
2020-07-19,Chungbuk,0,0.0,0.0,71
2020-07-20,Chungbuk,0,0.0,0.0,71
2020-07-21,Chungbuk,0,0.0,0.0,71
2020-07-22,Chungbuk,1,0.0,1.0,72
2020-07-23,Chungbuk,0,0.0,0.0,72
2020-07-24,Chungbuk,0,0.0,0.0,72
2020-07-25,Chungbuk,0,0.0,0.0,72
2020-07-26,Chungbuk,0,0.0,0.0,72
2020-07-27,Chungbuk,1,0.0,1.0,73
2020-07-28,Chungbuk,0,0.0,0.0,73
2020-07-29,Chungbuk,0,0.0,0.0,73
2020-07-30,Chungbuk,0,0.0,0.0,73
2020-07-31,Chungbuk,0,0.0,0.0,73
2020-08-01,Chungbuk,0,0.0,0.0,73
2020-08-02,Chungbuk,0,0.0,0.0,73
2020-08-03,Chungbuk,0,0.0,0.0,73
2020-08-04,Chungbuk,1,0.0,1.0,74
2020-08-05,Chungbuk,6,6.0,0.0,80
2020-08-06,Chungbuk,1,0.0,1.0,81
2020-08-07,Chungbuk,0,0.0,0.0,81
2020-08-08,Chungbuk,0,0.0,0.0,81
2020-08-09,Chungbuk,1,1.0,0.0,82
2020-08-10,Chungbuk,0,0.0,0.0,82
2020-08-11,Chungbuk,0,0.0,0.0,82
2020-08-12,Chungbuk,0,0.0,0.0,82
2020-08-13,Chungbuk,0,0.0,0.0,82
2020-08-14,Chungbuk,0,0.0,0.0,82
2020-08-15,Chungbuk,0,0.0,0.0,82
2020-08-16,Chungbuk,1,1.0,0.0,83
2020-08-17,Chungbuk,3,2.0,1.0,86
2020-08-18,Chungbuk,1,1.0,0.0,87
2020-08-19,Chungbuk,2,1.0,1.0,89
2020-08-20,Chungbuk,1,1.0,0.0,90
2020-08-21,Chungbuk,3,3.0,0.0,93
2020-08-22,Chungbuk,2,2.0,0.0,95
2020-08-23,Chungbuk,3,3.0,0.0,98
2020-08-24,Chungbuk,10,10.0,0.0,108
2020-08-25,Chungbuk,2,0.0,2.0,110
2020-08-26,Chungbuk,0,0.0,0.0,110
2020-08-27,Chungbuk,1,1.0,0.0,111
2020-08-28,Chungbuk,5,5.0,0.0,116
2020-08-29,Chungbuk,6,6.0,0.0,122
2020-08-30,Chungbuk,5,5.0,0.0,127
2020-08-31,Chungbuk,1,0.0,1.0,128
2020-09-01,Chungbuk,1,1.0,0.0,129
2020-09-02,Chungbuk,1,1.0,0.0,130
2020-09-03,Chungbuk,1,1.0,0.0,131
2020-09-04,Chungbuk,4,4.0,0.0,135
2020-09-05,Chungbuk,4,2.0,2.0,139
2020-09-06,Chungbuk,2,2.0,0.0,141
2020-09-07,Chungbuk,0,0.0,0.0,141
2020-09-08,Chungbuk,1,1.0,0.0,142
2020-09-09,Chungbuk,1,1.0,0.0,143
2020-09-10,Chungbuk,3,2.0,1.0,146
2020-09-11,Chungbuk,1,1.0,0.0,147
2020-09-12,Chungbuk,0,0.0,0.0,147
2020-09-13,Chungbuk,0,0.0,0.0,147
2020-09-14,Chungbuk,0,0.0,0.0,147
2020-09-15,Chungbuk,2,2.0,0.0,149
2020-09-16,Chungbuk,2,2.0,0.0,151
2020-09-17,Chungbuk,0,0.0,0.0,151
2020-09-18,Chungbuk,3,3.0,0.0,154
2020-09-19,Chungbuk,1,1.0,0.0,155
2020-09-20,Chungbuk,1,1.0,0.0,156
2020-09-21,Chungbuk,2,2.0,0.0,158
2020-09-22,Chungbuk,2,2.0,0.0,160
2020-09-23,Chungbuk,2,2.0,0.0,162
2020-09-24,Chungbuk,2,1.0,1.0,164
2020-09-25,Chungbuk,3,1.0,2.0,167
2020-09-26,Chungbuk,0,0.0,0.0,167
2020-09-27,Chungbuk,2,2.0,0.0,169
2020-09-28,Chungbuk,1,1.0,0.0,170
2020-09-29,Chungbuk,1,1.0,0.0,171
2020-09-30,Chungbuk,0,0.0,0.0,171
2020-10-01,Chungbuk,1,1.0,0.0,172
2020-10-02,Chungbuk,0,0.0,0.0,172
2020-10-03,Chungbuk,1,0.0,1.0,173
